779,97,47,51,0,1,2,0,0,0,8,31,0,0,0,0,3,21,1,0,0,0,16,1,1,12,1
122,660,79,45,2,0,2,1,2,0,10,39,0,0,0,0,6,18,0,0,0,1,8,3,3,15,0
35,22,811,29,0,2,5,0,6,0,13,14,1,1,0,1,7,12,2,0,0,1,9,0,0,6,0
30,50,79,711,2,1,4,3,0,2,6,16,0,0,1,3,78,21,0,0,0,5,6,2,1,9,1
1,2,2,5,597,69,23,18,12,0,2,0,1,11,1,0,3,1,0,9,11,28,4,2,0,2,0
0,1,1,1,65,678,41,16,7,1,1,4,0,3,2,1,3,3,0,5,8,13,2,2,2,1,2
2,1,3,3,16,33,610,85,16,1,11,0,0,3,1,0,2,3,2,9,1,30,8,0,0,0,1
0,0,1,1,17,20,58,654,17,0,5,0,2,11,3,1,2,5,0,18,21,65,8,1,1,0,0
1,1,0,2,4,4,9,6,821,0,4,2,33,1,1,1,3,11,1,0,1,5,1,0,0,1,0
0,1,0,2,1,3,0,1,4,790,1,12,1,0,0,23,1,0,96,0,1,0,0,0,0,0,19
1,1,1,4,0,1,6,0,4,0,728,11,4,2,1,3,3,85,2,0,0,0,9,2,3,9,0
14,19,13,2,1,3,0,0,8,5,23,978,3,0,0,3,3,27,5,0,0,0,18,4,4,28,3
0,0,2,1,1,4,4,0,38,1,11,10,1062,1,0,0,1,4,0,1,0,2,2,0,0,2,0
0,1,1,2,8,5,6,1,1,0,7,1,9,1131,0,0,0,4,0,0,1,4,2,1,0,1,0
0,2,1,3,1,4,3,3,3,0,2,1,0,12,1115,1,1,3,0,0,0,1,11,2,0,0,1
0,1,1,4,0,0,2,1,0,42,0,4,2,0,11,709,3,0,84,1,2,0,0,2,1,2,7
3,2,4,91,3,1,4,0,6,2,5,6,2,0,0,5,722,6,4,0,0,2,0,2,2,12,0
5,7,10,13,1,0,4,0,4,0,122,30,2,2,0,1,11,888,0,0,0,1,13,0,0,6,0
3,3,0,1,2,6,1,0,1,79,0,14,0,0,1,43,3,6,728,1,1,2,0,4,1,3,15
0,0,0,2,23,15,22,29,1,3,0,0,3,3,0,3,2,4,6,778,266,89,0,2,1,1,1
1,0,1,2,22,8,8,25,0,1,1,0,1,7,2,2,0,1,1,177,863,58,2,0,0,0,0
0,0,0,3,16,14,14,34,9,1,3,0,1,14,0,2,1,3,4,21,29,823,4,1,0,0,0
1,7,13,6,3,2,1,0,5,0,25,18,0,2,4,0,4,31,2,0,0,0,825,1,0,3,0
0,1,2,1,2,0,0,0,1,3,5,1,2,1,0,1,0,3,0,0,0,0,3,1077,0,2,0
0,2,0,2,0,0,2,0,0,0,3,5,3,0,0,0,3,2,0,0,0,0,3,8,1157,3,1
12,6,6,12,1,0,4,3,1,0,17,13,1,1,1,0,4,31,0,0,0,0,2,4,10,858,3
1,0,0,0,0,1,2,2,1,12,0,1,1,0,0,13,0,1,22,0,1,0,0,1,0,4,914
