2855,45,11,18,8,3,69,50,0,0,0,0,2,1,1,1,1
394,1415,9,19,2,6,49,6,0,0,5,0,1,1,1,4,3
7,14,1155,444,17,6,10,0,0,0,2,6,2,3,0,1,0
3,17,166,3838,27,11,29,2,7,0,1,80,3,4,0,0,1
3,9,13,41,1941,1,36,11,0,0,0,4,0,1,0,0,0
1,9,2,3,5,1697,7,11,0,0,118,0,0,7,0,0,14
108,25,6,17,13,1,1743,48,0,0,8,0,29,1,0,1,0
178,9,3,0,6,25,86,847,0,0,1,0,8,0,0,1,0
0,9,6,18,15,0,21,0,1113,0,0,1,0,0,0,3,0
5,5,4,15,4,1,8,0,11,1110,0,0,6,1,0,0,0
1,3,1,2,0,178,2,7,0,11,665,0,0,1,0,0,8
1,5,28,418,14,2,3,0,4,1,0,519,0,1,0,1,0
66,6,4,15,4,2,75,10,0,1,0,0,770,0,0,0,0
4,2,4,1,0,1,6,1,0,0,0,0,3,1078,0,5,0
7,2,0,2,2,1,7,4,0,0,0,0,4,8,1151,6,0
94,16,3,7,1,0,101,24,0,0,0,0,1,0,9,732,2
1,1,0,1,1,88,0,1,0,0,6,0,0,2,0,3,873
