2830,117,4,5,4,4,31,32,0,2,3,1,8,2,4,18,0
179,1647,10,13,2,13,10,14,0,1,4,0,2,1,2,16,1
15,13,1435,141,11,7,10,3,1,0,1,22,6,0,0,2,0
15,19,166,3822,21,14,22,6,4,7,4,75,6,1,1,2,4
6,11,12,31,1950,4,19,11,4,2,0,6,1,1,0,2,0
1,5,2,6,5,1700,7,15,0,0,94,2,1,1,2,0,33
50,31,8,18,12,3,1783,29,2,3,1,0,13,4,11,32,0
66,19,3,2,5,14,21,997,0,1,6,1,6,2,2,19,0
2,4,8,16,12,0,12,0,1119,2,0,7,1,0,0,3,0
3,4,1,12,1,2,5,3,10,1116,0,4,7,0,2,0,0
2,1,4,3,0,99,0,5,0,11,747,1,0,0,1,0,5
4,9,32,153,7,2,2,1,2,1,0,778,3,1,1,1,0
29,7,6,10,0,1,27,15,0,2,1,3,842,0,2,8,0
3,3,0,1,0,10,4,4,3,0,1,2,3,1068,1,1,1
5,2,2,2,0,1,1,7,0,1,1,0,1,9,1159,3,0
32,23,2,3,3,1,36,15,0,1,0,0,2,4,12,854,2
0,6,1,2,0,36,1,1,0,0,6,1,0,1,0,4,918
